ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16,0.000,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:1505(find_spec)
2,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1585(<setcomp>)
2,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1556(_fill_cache)
2,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
9,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\encodings\__init__.py:43(normalize_encoding)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\codecs.py:186(__init__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\abc.py:117(__instancecheck__)
2/1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\abc.py:121(__subclasscheck__)
82,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\os.py:674(__getitem__)
82,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\os.py:740(check_str)
82,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\os.py:746(encodekey)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_bootlocale.py:11(getpreferredencoding)
5280,0.004,0.000,0.005,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:34(_get_bothseps)
4439,0.010,0.000,0.015,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:44(normcase)
10,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:61(isabs)
38,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:77(join)
5435,0.023,0.000,0.027,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:124(splitdrive)
5270,0.052,0.000,0.087,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:180(split)
4439,0.010,0.000,0.035,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:203(splitext)
4440,0.007,0.000,0.079,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:214(basename)
814,0.002,0.000,0.016,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:221(dirname)
7,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:450(normpath)
7,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ntpath.py:524(abspath)
36,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\_collections_abc.py:760(get)
41,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\genericpath.py:16(exists)
4439,0.015,0.000,0.023,0.000,D:\Programme\anaconda3\envs\fml\lib\genericpath.py:121(_splitext)
4439,0.006,0.000,0.012,0.000,D:\Programme\anaconda3\envs\fml\lib\encodings\cp1252.py:18(encode)
4,0.000,0.000,0.005,0.001,D:\Programme\anaconda3\envs\fml\lib\importlib\__init__.py:109(import_module)
23,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\types.py:171(__get__)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\contextlib.py:63(_recreate_cm)
5,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\contextlib.py:76(inner)
4,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\re.py:188(match)
57,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\re.py:250(compile)
